client_id,hist_transaction_count,hist_total_amount,hist_avg_amount,hist_preferred_method,curr_transaction_count,curr_total_amount,curr_avg_amount,curr_preferred_method,transaction_frequency_change,avg_amount_change,method_changed
0,106,5584920.57,52687.92990566038,Chèque,143,8839408.49,61814.04538461538,Carte bancaire,37,9126.115478955006,True
0010c742,14,536799.03,38342.78785714286,Chèque,18,1270762.19,70597.89944444444,Carte bancaire,4,32255.11158730158,True
0013d624,9,533934.09,59326.009999999995,Chèque,51,3795693.57,74425.36411764706,Carte bancaire,42,15099.35411764706,True
0018b0e2,4,152431.4,38107.85,Carte bancaire,23,1674887.57,72821.19869565217,Carte bancaire,19,34713.348695652174,False
001b4107,26,1329239.84,51124.60923076923,Carte bancaire,4,281947.25,70486.8125,Carte bancaire,-22,19362.20326923077,False
001fc661,48,1837424.43,38279.675624999996,Chèque,75,4963053.18,66174.04239999999,Carte bancaire,27,27894.366774999995,True
001fccf0,15,599166.92,39944.46133333333,Chèque,14,669017.95,47786.99642857142,Carte bancaire,-1,7842.53509523809,True
0026bd85,14,610411.46,43600.81857142857,Chèque,18,816139.24,45341.06888888889,Carte bancaire,4,1740.250317460319,True
003c2b31,4,154229.22999999998,38557.307499999995,Chèque,13,895225.5499999999,68863.50384615384,Carte bancaire,9,30306.19634615384,True
0056a928,16,813613.72,50850.8575,Chèque,42,2356641.8,56110.51904761904,Carte bancaire,26,5259.661547619042,True
007ee047,4,174774.76,43693.69,Carte bancaire,11,859729.1,78157.1909090909,Carte bancaire,7,34463.5009090909,False
00a68767,13,704926.34,54225.10307692307,Chèque,4,301477.31,75369.3275,Agence,-9,21144.22442307693,True
00a842b2,28,1370193.08,48935.467142857146,Carte bancaire,25,1465924.2,58636.968,Carte bancaire,-3,9701.500857142855,False
00c412b1,29,1300292.4000000001,44837.668965517245,Carte bancaire,5,354008.22000000003,70801.644,Carte bancaire,-24,25963.975034482755,False
00c90539,8,502305.45999999996,62788.182499999995,Carte bancaire,22,1449714.74,65896.12454545454,Carte bancaire,14,3107.942045454547,False
00d78957,15,702676.91,46845.12733333334,Chèque,2,150021.46000000002,75010.73000000001,Carte bancaire,-13,28165.602666666673,True
00e2531b,25,1177520.44,47100.817599999995,Chèque,3,188823.78,62941.26,Virement,-22,15840.442400000007,True
00e327ef,7,372305.7,53186.52857142857,Chèque,23,1437299.03,62491.26217391305,Carte bancaire,16,9304.733602484477,True
00ef5aa4,5,164258.51,32851.702000000005,Espèces,10,686022.23,68602.223,Carte bancaire,5,35750.52099999999,True
0109bbb0,11,552818.9400000001,50256.26727272728,Chèque,7,447411.92,63915.98857142857,Carte bancaire,-4,13659.72129870129,True
01369de4,11,670510.94,60955.53999999999,Chèque,5,417430.49,83486.098,Carte bancaire,-6,22530.558000000005,True
014b536b,19,947645.52,49876.08,Chèque,5,174504.62,34900.924,Carte bancaire,-14,-14975.156000000003,True
0157c38d,13,532193.76,40937.981538461536,Chèque,12,562638.54,46886.545000000006,Virement,-1,5948.56346153847,True
0159f544,18,1038352.91,57686.272777777776,Chèque,11,844068.02,76733.45636363636,Carte bancaire,-7,19047.183585858584,True
016fabdb,3,155227.37,51742.456666666665,Chèque,5,382542.41,76508.48199999999,Carte bancaire,2,24766.025333333324,True
0188f3ab,17,929094.4,54652.611764705885,Chèque,16,1170974.31,73185.894375,Carte bancaire,-1,18533.282610294118,True
018de45e,22,1309086.59,59503.93590909091,Chèque,7,394655.94,56379.42,Carte bancaire,-15,-3124.5159090909146,True
01a78a35,11,545009.1699999999,49546.28818181818,Chèque,15,594144.5499999999,39609.636666666665,Carte bancaire,4,-9936.651515151512,True
01af40c5,6,281089.19,46848.198333333334,Chèque,13,750119.21,57701.477692307686,Carte bancaire,7,10853.279358974352,True
01b01eb8,7,368195.66000000003,52599.380000000005,Chèque,30,1740945.4,58031.51333333333,Carte bancaire,23,5432.133333333324,True
01be3f0e,40,1700845.08,42521.127,Chèque,58,3763197.76,64882.719999999994,Carte bancaire,18,22361.592999999993,True
01c531af,22,948410.99,43109.590454545454,Chèque,7,259017.94,37002.56285714286,Carte bancaire,-15,-6107.0275974025935,True
020bc17d,3,163236.81,54412.27,Carte bancaire,29,1501277.01,51768.17275862069,Carte bancaire,26,-2644.097241379306,False
021d85d3,38,1841966.6400000001,48472.80631578948,Chèque,26,1367920.52,52612.32769230769,Carte bancaire,-12,4139.5213765182125,True
022bd325,24,1354118.78,56421.61583333334,Chèque,12,658857.9299999999,54904.82749999999,Carte bancaire,-12,-1516.7883333333448,True
025a2ab4,4,186825.8,46706.45,Virement,15,871411.6799999999,58094.111999999994,Carte bancaire,11,11387.661999999997,True
026092c0,28,1463290.59,52260.378214285716,Chèque,24,1557726.69,64905.27875,Carte bancaire,-4,12644.900535714281,True
0263dceb,25,1206212.7,48248.508,Carte bancaire,29,1872776.25,64578.49137931035,Carte bancaire,4,16329.983379310346,False
0270646c,22,722037.2999999999,32819.877272727266,Chèque,12,945585.5,78798.79166666667,Carte bancaire,-10,45978.914393939405,True
