CLI,Nbr_Transactions_2025,Montant_Total_2025,Montant_Moyen_2025,Montant_Max_2024,NCP,CPT_AGENCE_CODE,CLIENT_MARCHE,utilise_mobile_banking_2025,CSP_2025,Segment_NMR_2025,CLIENT_SPEC_LIB_2025,CLT_SECTEUR_ACTIVITE_LIB_2025,Nbr_Cheques_2024,Montant_Cheques_2025,Plafond_Chequier_2025,Ratio_Cheques_Paiements_2025,NBRE_TRANSACTIONS_2024,MONTANT_TOTAL_2024,MONTANT_MOYEN_2024,MONTANT_MAX_2024,NCP_client,AGENCE_COMPTE,MARCHE,utilise_mobile_banking_2024,CSP_2024,Segment_NMR_2024,CLIENT_SPEC_LIB_2024,CLT_SECTEUR_ACTIVITE_LIB_2024,NBRE_CHQ_COMPENSES_2024,MONTANT_CHQ_COMPENSES_2024,MONTANT_MAX_CHQ_2024,NBRE_PREAVIS,NBRE_CNP,NBRE_CNP_INCIDENT,AUTORISATION,NBRE_CHEQUIERS_OCTROYES_2024,NBRE_CHEQUES_OCTROYES_2024,NBRE_CHEQUES_EN_CIRCULATION,Ecart_Nbr_Cheques_2024_2025,Ecart_Montant_Max_2024_2025,A_Demande_Derogation,Derogation_Acceptee,hist_transaction_count,hist_total_amount,hist_avg_amount,hist_preferred_method,curr_transaction_count,curr_total_amount,curr_avg_amount,curr_preferred_method,transaction_frequency_change,avg_amount_change,method_changed,Revenu_Estime,Nombre_Methodes_Paiement,Montant_Moyen_Cheque,Montant_Moyen_Alternative,Target_Nbr_Cheques_Futur,Target_Montant_Max_Futur,CSP,Segment_NMR,CLT_SECTEUR_ACTIVITE_LIB,Utilise_Mobile_Banking
0,143,8839408.49,61814.04538461538,119859.59,005a294a10,59.0,TRE,False,SALARIE CADRE MOYEN,S3 Essentiel,Unknown,ADMINISTRATION PUBLIQUE,5.0,252211.58,86584.18,0.03496503496503497,106,5584920.57,52687.92990566038,98333.23,25863f6477,50.0,GEI,False,RETRAITE,S3 Essentiel,BANQUE DIGITALE,ADMINISTRATION PUBLIQUE,41.0,2050744.68,98225.08,0,1,0,45084.06118914404,2,50,9.0,-36.0,21634.509999999995,1,0.0,106,5584920.57,52687.92990566038,Chèque,143,8839408.49,61814.04538461538,Carte bancaire,37,9126.115478955006,True,239939.47828066285,4,71915.754,49451.23630769231,0,236403.3989853827,0,0,0,0
0010c742,18,1270762.19,70597.89944444444,119368.67,16a7b790b1,189.0,TPE,False,JEUNE,S5 Univers,Unknown,ENSEIGNEMENT,0.0,0.0,0.0,0.0,14,536799.03,38342.78785714286,88652.06,16a7b790b1,189.0,Particuliers,True,JEUNE,S5 Univers,Unknown,ENSEIGNEMENT,6.0,214584.18,75064.92,1,0,0,39307.16870676326,1,25,19.0,-6.0,44303.75,0,0.0,14,536799.03,38342.78785714286,Chèque,18,1270762.19,70597.89944444444,Carte bancaire,4,32255.11158730158,True,48515.0750495943,3,71621.20199999999,56478.31955555556,0,154113.12803496263,0,0,0,0
0013d624,51,3795693.57,74425.36411764706,111849.31,1626e75188,156.0,TPE,False,TRE SALARIE,S4 Avenir,Unknown,COMM ET RÉPAR AUTOS MOTOCYCL,0.0,0.0,0.0,0.0,9,533934.09,59326.009999999995,68817.45,1626e75188,156.0,TPE,False,TRE SALARIE,S4 Avenir,Unknown,COMM ET RÉPAR AUTOS MOTOCYCL,3.0,153334.5,51111.5,0,1,0,46434.916965456505,1,25,22.0,-3.0,60737.81,0,0.0,9,533934.09,59326.01,Chèque,51,3795693.57,74425.36411764706,Carte bancaire,42,15099.35411764706,True,87228.10049411978,6,67109.586,59540.29129411765,0,167890.03963739928,0,0,0,0
0018b0e2,23,1674887.57,72821.19869565217,114326.88,7ac845631c,171.0,PRO,True,RETRAITE,S4 Avenir,Unknown,SANTÉ HUMAINE ET ACTION SOCIAL,3.0,224959.89,81856.47,0.13043478260869565,4,152431.4,38107.85,86763.44,7ac845631c,171.0,TPE,True,RETRAITE,S4 Avenir,Unknown,SANTÉ HUMAINE ET ACTION SOCIAL,1.0,86763.44,86763.44,2,0,0,5956.410017868719,1,25,24.0,2.0,27563.440000000002,0,0.0,4,152431.4,38107.85,Carte bancaire,23,1674887.57,72821.19869565217,Carte bancaire,19,34713.348695652174,False,65454.8008476459,8,68596.128,58256.95895652174,4,149344.21534898508,0,0,0,0
001b4107,4,281947.25,70486.8125,107267.59,c78c7d6375,167.0,PME,False,SALARIE CADRE MOYEN,S3 Essentiel,Unknown,SANTÉ HUMAINE ET ACTION SOCIAL,0.0,0.0,0.0,0.0,26,1329239.84,51124.60923076923,94358.76,c78c7d6375,167.0,TRE,False,SALARIE CADRE MOYEN,S3 Essentiel,Unknown,SANTÉ HUMAINE ET ACTION SOCIAL,8.0,438430.18,94358.76,2,0,0,18317.045523591994,1,25,17.0,-8.0,12908.830000000002,0,0.0,26,1329239.84,51124.60923076923,Carte bancaire,4,281947.25,70486.8125,Carte bancaire,-22,19362.20326923077,False,48922.28173445357,6,64360.554,56389.450000000004,0,129264.35261464168,0,0,0,0
001fc661,75,4963053.18,66174.04239999999,116066.94,e2bed5ecea,82.0,PME,False,RENTIER,NON SEGMENTE,Unknown,TRANSPORTS ET ENTREPOSAGE,6.0,433517.64,116066.94,0.08,48,1837424.43,38279.675624999996,93818.1,e2bed5ecea,82.0,Particuliers,False,RENTIER,NON SEGMENTE,Unknown,TRANSPORTS ET ENTREPOSAGE,27.0,1056758.01,87828.07,0,1,0,49403.61505890779,2,50,23.0,-21.0,28238.869999999995,0,0.0,48,1837424.43,38279.675625,Chèque,75,4963053.18,66174.04239999999,Carte bancaire,27,27894.366774999995,True,128224.0260107164,4,69640.164,52939.23392,0,177768.0703798741,0,0,0,0
001fccf0,14,669017.95,47786.99642857142,109000.06,ff554052e2,3.0,Particuliers,True,SALARIE HAUT CADRE,S2 Premium,Unknown,INFORMATION ET COMMUNICATION,1.0,15209.23,15209.23,0.07142857142857142,15,599166.92,39944.46133333333,91112.11,ff554052e2,3.0,GEI,False,SALARIE HAUT CADRE,S2 Premium,Unknown,INFORMATION ET COMMUNICATION,8.0,330083.12,80224.67,0,2,0,26489.552006238377,1,25,17.0,-7.0,28775.39,0,0.0,15,599166.92,39944.46133333333,Chèque,14,669017.95,47786.99642857142,Carte bancaire,-1,7842.53509523809,True,31836.699185058867,2,65400.03599999999,38229.59714285714,0,130116.13083994063,0,0,0,0
0026bd85,18,816139.24,45341.06888888889,104059.42,bb031d7a85,8.0,GEI,True,TRE SALARIE,S3 Essentiel,Unknown,ADMINISTRATION PUBLIQUE,2.0,99849.86,49924.93,0.1111111111111111,14,610411.46,43600.81857142857,88578.49,bb031d7a85,8.0,Particuliers,False,TRE SALARIE,S3 Essentiel,Unknown,ADMINISTRATION PUBLIQUE,6.0,294816.82,67485.11,2,0,0,4523.710279997223,1,25,19.0,-4.0,36574.31,1,1.0,14,610411.46,43600.81857142857,Chèque,18,816139.24,45341.06888888889,Carte bancaire,4,1740.250317460319,True,80032.50384107666,5,62435.651999999995,36272.855111111116,2,152053.1747724117,0,0,0,0
003c2b31,13,895225.5499999999,68863.50384615384,117939.54,86e5ddf33b,70.0,PME,False,SALARIE CADRE MOYEN,S4 Avenir,Unknown,ADMINISTRATION PUBLIQUE,0.0,0.0,0.0,0.0,4,154229.22999999998,38557.307499999995,87125.78,86e5ddf33b,70.0,TRE,True,SALARIE CADRE MOYEN,S4 Avenir,Unknown,ADMINISTRATION PUBLIQUE,2.0,114626.15,87125.78,1,1,1,12633.874540796553,1,25,23.0,-2.0,30813.759999999995,1,1.0,4,154229.22999999998,38557.3075,Chèque,13,895225.5499999999,68863.50384615384,Carte bancaire,9,30306.19634615384,True,50053.59631207632,2,70763.72399999999,55090.80307692307,1,154237.8945237384,0,0,0,0
0056a928,42,2356641.8,56110.51904761904,118647.13,f51e4e8b23,149.0,Particuliers,True,ARTISAN,S4 Avenir,Unknown,CONSTRUCTION,0.0,0.0,0.0,0.0,16,813613.72,50850.8575,86929.76,f51e4e8b23,149.0,PME,True,ARTISAN,S4 Avenir,Unknown,CONSTRUCTION,6.0,326273.94,86929.76,0,0,0,43808.059651378724,1,25,19.0,-6.0,31717.37000000001,0,0.0,16,813613.72,50850.8575,Chèque,42,2356641.8,56110.51904761904,Carte bancaire,26,5259.661547619042,True,54336.42779140289,3,71188.278,44888.41523809524,0,151375.28695774553,0,0,0,0
