client_id,Nbr_Transactions_2025,Montant_Total_2025,Montant_Moyen_2025,Montant_Max_2025,NCP,CPT_AGENCE_CODE,CLIENT_MARCHE,utilise_mobile_banking_2025,CSP_2025,Segment_NMR_2025,CLIENT_SPEC_LIB_2025,CLT_SECTEUR_ACTIVITE_LIB_2025,Nbr_Cheques_2025,Montant_Cheques_2025,Plafond_Chequier_2025,Ratio_Cheques_Paiements_2025,NBRE_TRANSACTIONS_2024,MONTANT_TOTAL_2024,MONTANT_MOYEN_2024,MONTANT_MAX_2024,NCP_client,AGENCE_COMPTE,MARCHE,utilise_mobile_banking_2024,CSP_2024,Segment_NMR_2024,CLIENT_SPEC_LIB_2024,CLT_SECTEUR_ACTIVITE_LIB_2024,NBRE_CHQ_COMPENSES_2024,MONTANT_CHQ_COMPENSES_2024,MONTANT_MAX_CHQ_2024,NBRE_PREAVIS,NBRE_CNP,NBRE_CNP_INCIDENT,AUTORISATION,NBRE_CHEQUIERS_OCTROYES_2024,NBRE_CHEQUES_OCTROYES_2024,NBRE_CHEQUES_EN_CIRCULATION,Ecart_Nbr_Cheques_2024_2025,Ecart_Montant_Max_2024_2025,A_Demande_Derogation,Derogation_Acceptee,Derogation_Refusee
0,143,8839408.49,61814.04538461538,119859.59,005a294a10,59.0,TRE,False,SALARIE CADRE MOYEN,S3 Essentiel,,ADMINISTRATION PUBLIQUE,5.0,252211.58,86584.18,0.03496503496503497,106,5584920.57,52687.92990566038,98333.23,25863f6477,50.0,GEI,False,RETRAITE,S3 Essentiel,BANQUE DIGITALE,ADMINISTRATION PUBLIQUE,41.0,2050744.68,98225.08,0,0,0,16367.106692538702,2,50,9.0,-36.0,21634.509999999995,1,1,0
0010c742,18,1270762.19,70597.89944444444,119368.67,16a7b790b1,189.0,TPE,False,JEUNE,S5 Univers,,ENSEIGNEMENT,0.0,0.0,0.0,0.0,14,536799.03,38342.78785714286,88652.06,16a7b790b1,189.0,Particuliers,True,JEUNE,S5 Univers,,ENSEIGNEMENT,6.0,214584.18,75064.92,1,0,0,2706.8838434121944,1,25,19.0,-6.0,44303.75,1,1,0
0013d624,51,3795693.57,74425.36411764706,111849.31,1626e75188,156.0,TPE,False,TRE SALARIE,S4 Avenir,,COMM ET RÉPAR AUTOS MOTOCYCL,0.0,0.0,0.0,0.0,9,533934.09,59326.009999999995,68817.45,1626e75188,156.0,TPE,False,TRE SALARIE,S4 Avenir,,COMM ET RÉPAR AUTOS MOTOCYCL,3.0,153334.5,51111.5,0,1,0,3086.530450745578,1,25,22.0,-3.0,60737.81,1,1,0
0018b0e2,23,1674887.57,72821.19869565217,114326.88,7ac845631c,171.0,PRO,True,RETRAITE,S4 Avenir,,SANTÉ HUMAINE ET ACTION SOCIAL,3.0,224959.89,81856.47,0.13043478260869565,4,152431.4,38107.85,86763.44,7ac845631c,171.0,TPE,True,RETRAITE,S4 Avenir,,SANTÉ HUMAINE ET ACTION SOCIAL,1.0,86763.44,86763.44,1,0,0,1979.4382231483276,1,25,24.0,2.0,27563.440000000002,1,0,1
007ee047,11,859729.1,78157.1909090909,115648.98,7c7294dd8a,57.0,PME,False,SALARIE CADRE MOYEN,S5 Univers,,ADMINISTRATION PUBLIQUE,0.0,0.0,0.0,0.0,4,174774.76,43693.69,94917.93,7c7294dd8a,57.0,TPE,True,SALARIE CADRE MOYEN,S5 Univers,,ADMINISTRATION PUBLIQUE,1.0,30736.25,30736.25,0,0,0,6701.118022929103,1,25,24.0,-1.0,84912.73,1,1,0
00a68767,4,301477.31,75369.3275,108058.91,2eb33246e1,74.0,PME,True,TRE PROFESSIONNEL,S4 Avenir,,INDUSTRIE MANUFACTURIÈRE,0.0,0.0,0.0,0.0,13,704926.34,54225.10307692307,97750.06,2eb33246e1,74.0,GEI,True,TRE PROFESSIONNEL,S4 Avenir,,INDUSTRIE MANUFACTURIÈRE,5.0,148100.23,43294.69,0,0,0,31609.54966750869,1,25,20.0,-5.0,64764.22,1,1,0
01369de4,5,417430.49,83486.098,119536.16,41a68c9a75,177.0,GEI,False,RETRAITE,S2 Premium,,ENSEIGNEMENT,0.0,0.0,0.0,0.0,11,670510.94,60955.53999999999,95671.88,41a68c9a75,177.0,TRE,False,RETRAITE,S2 Premium,,ENSEIGNEMENT,6.0,291708.01,82862.48,1,1,0,42481.9969653198,1,25,19.0,-6.0,36673.68000000001,1,1,0
0157c38d,12,562638.54,46886.545000000006,83938.21,32db3d0e6b,171.0,PME,False,RENTIER,NON SEGMENTE,BANQUE DIGITALE,SANTÉ HUMAINE ET ACTION SOCIAL,0.0,0.0,0.0,0.0,13,532193.76,40937.981538461536,94893.37,32db3d0e6b,171.0,PRO,False,RENTIER,NON SEGMENTE,BANQUE DIGITALE,SANTÉ HUMAINE ET ACTION SOCIAL,6.0,249766.31,94893.37,1,0,0,8655.31436856567,1,25,19.0,-6.0,-10955.159999999989,1,1,0
0188f3ab,16,1170974.31,73185.894375,118727.79,ed240e3e85,158.0,PRO,False,JEUNE,S5 Univers,,ENSEIGNEMENT,2.0,113716.76000000001,72637.97,0.125,17,929094.4,54652.611764705885,98066.47,ed240e3e85,158.0,Particuliers,False,JEUNE,S5 Univers,,ENSEIGNEMENT,6.0,267511.69,77618.59,0,0,0,49302.5823960873,1,25,19.0,-4.0,41109.2,1,0,1
01af40c5,13,750119.21,57701.477692307686,118322.0,4320f28d5d,82.0,PME,False,JEUNE,CLIENT INACTIF,,ENSEIGNEMENT,0.0,0.0,0.0,0.0,6,281089.19,46848.198333333334,90078.24,4320f28d5d,82.0,TPE,True,JEUNE,CLIENT INACTIF,,ENSEIGNEMENT,2.0,85021.67,83779.09,0,0,0,13923.228444610952,1,25,23.0,-2.0,34542.91,1,1,0
020bc17d,29,1501277.01,51768.17275862069,103166.33,06cc1b70df,96.0,PRO,True,TRE SALARIE,NON SEGMENTE,,ACTIVITÉS EXTRA TERRITORIALES,3.0,138115.59,96897.2,0.10344827586206896,3,163236.81,54412.27,76367.53,06cc1b70df,96.0,PRO,True,TRE SALARIE,NON SEGMENTE,,ACTIVITÉS EXTRA TERRITORIALES,1.0,13549.87,13549.87,0,0,0,45275.07290683065,1,25,24.0,2.0,89616.46,1,1,0
021d85d3,26,1367920.52,52612.32769230769,108084.87,89aae0ac05,94.0,TRE,False,TRE SALARIE,S2 Premium,,TRANSPORTS ET ENTREPOSAGE,2.0,216169.74,108084.87,0.07692307692307693,38,1841966.6400000001,48472.80631578948,92736.7,89aae0ac05,94.0,PRO,True,TRE SALARIE,S2 Premium,,TRANSPORTS ET ENTREPOSAGE,22.0,894312.46,92736.7,0,0,0,18277.033161451916,1,25,3.0,-20.0,15348.169999999998,1,0,1
0276f3d8,20,1021598.04,51079.902,99178.48,e0027f5c49,121.0,PME,True,TRE SALARIE,CLIENT INACTIF,,COMM ET RÉPAR AUTOS MOTOCYCL,0.0,0.0,0.0,0.0,36,2082771.8599999999,57854.773888888885,97763.51,e0027f5c49,121.0,Particuliers,False,TRE SALARIE,CLIENT INACTIF,,COMM ET RÉPAR AUTOS MOTOCYCL,18.0,1158233.46,97763.51,0,0,0,4331.798234963391,1,25,7.0,-18.0,1414.9700000000012,1,1,0
02b1f916,7,351762.39,50251.770000000004,117685.03,4be4403231,110.0,GEI,True,RENTIER,S5 Univers,BANQUE DIGITALE,SANTÉ HUMAINE ET ACTION SOCIAL,0.0,0.0,0.0,0.0,13,514731.02,39594.693846153845,75635.88,4be4403231,110.0,TPE,False,RENTIER,S5 Univers,BANQUE DIGITALE,SANTÉ HUMAINE ET ACTION SOCIAL,4.0,209844.72,65245.47,1,0,0,43554.06575900915,1,25,21.0,-4.0,52439.56,1,0,1
